Year,Country of Asylum,Origin,Refugees,Asylum-seekers,Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
2011,United Arab Emirates,Syrian Arab Rep.,37,6,,,,,,43
2011,Armenia,Syrian Arab Rep.,6,2,,,,,,8
2011,Australia,Syrian Arab Rep.,84,66,,,,,,150
2011,Austria,Syrian Arab Rep.,903,456,,,,,,1359
2011,Belgium,Syrian Arab Rep.,312,666,,,,,,978
2011,Bulgaria,Syrian Arab Rep.,98,70,,,,,,168
2011,Bosnia and Herzegovina,Syrian Arab Rep.,1,2,,,,,,3
2011,Brazil,Syrian Arab Rep.,6,13,,,,,,19
2011,Canada,Syrian Arab Rep.,547,251,,,,,,798
2011,Switzerland,Syrian Arab Rep.,1074,1066,,,,,,2140
2011,Cyprus,Syrian Arab Rep.,137,345,,,,,,482
2011,Germany,Syrian Arab Rep.,10155,4713,,,,,,14868
2011,Denmark,Syrian Arab Rep.,1197,93,,,,,,1290
2011,Egypt,Syrian Arab Rep.,9,85,,,,,,94
2011,Finland,Syrian Arab Rep.,86,75,,,,,,161
2011,United Kingdom,Syrian Arab Rep.,693,339,,,,,,1032
2011,Ireland,Syrian Arab Rep.,27,18,,,,,,45
2011,Iraq,Syrian Arab Rep.,323,1391,,,,,,1714
2011,Jordan,Syrian Arab Rep.,193,2618,,,,,,2811
2011,Kyrgyzstan,Syrian Arab Rep.,9,11,,,,,,20
2011,Kuwait,Syrian Arab Rep.,10,10,,,,,,20
2011,Lebanon,Syrian Arab Rep.,124,367,,,,,4840,5331
2011,Latvia,Syrian Arab Rep.,4,11,,,,,,15
2011,Rep. of Moldova,Syrian Arab Rep.,11,10,,,,,,21
2011,Malta,Syrian Arab Rep.,80,72,,,,,,152
2011,Malaysia,Syrian Arab Rep.,4,8,,,,,,12
2011,Netherlands,Syrian Arab Rep.,1064,231,,,,,,1295
2011,Norway,Syrian Arab Rep.,171,336,,,,,,507
2011,New Zealand,Syrian Arab Rep.,35,2,,,,,,37
2011,Oman,Syrian Arab Rep.,7,4,,,,,,11
2011,Pakistan,Syrian Arab Rep.,8,2,,,,,,10
2011,Poland,Syrian Arab Rep.,10,10,,,,,,20
2011,Romania,Syrian Arab Rep.,20,27,,,,,,47
2011,Russian Federation,Syrian Arab Rep.,4,12,,,,,,16
2011,Saudi Arabia,Syrian Arab Rep.,14,12,,,,,,26
2011,Sweden,Syrian Arab Rep.,1206,485,,,,,,1691
2011,Turkey,Syrian Arab Rep.,19,205,,,,,9270,9494
2011,Ukraine,Syrian Arab Rep.,43,176,,,,,,219
2011,USA,Syrian Arab Rep.,373,112,,,,,,485
2011,Yemen,Syrian Arab Rep.,42,24,,,,,,66
2012,United Arab Emirates,Syrian Arab Rep.,16,14,,,,,,30
2012,Argentina,Syrian Arab Rep.,40,9,,,,,,49
2012,Armenia,Syrian Arab Rep.,136,340,,,,,5500,5976
2012,Australia,Syrian Arab Rep.,204,74,,,,,,278
2012,Austria,Syrian Arab Rep.,1675,694,,,,,,2369
2012,Azerbaijan,Syrian Arab Rep.,3,6,,,,,,9
2012,Belgium,Syrian Arab Rep.,355,938,,,,,,1293
2012,Bosnia and Herzegovina,Syrian Arab Rep.,5,26,,,,,,31
2012,Brazil,Syrian Arab Rep.,42,67,,,,,,109
2012,Canada,Syrian Arab Rep.,533,404,,,,,,937
2012,Switzerland,Syrian Arab Rep.,1391,1692,,,,,,3083
2012,Cameroon,Syrian Arab Rep.,1,3,,,,,,4
2012,Colombia,Syrian Arab Rep.,1,2,,,,,,3
2012,Cuba,Syrian Arab Rep.,11,3,,,,,,14
2012,Cyprus,Syrian Arab Rep.,139,946,,,,,,1085
2012,Czech Rep.,Syrian Arab Rep.,54,70,,,,,,124
2012,Germany,Syrian Arab Rep.,18165,5986,,,,,,24151
2012,Denmark,Syrian Arab Rep.,1903,115,,,,,,2018
2012,Spain,Syrian Arab Rep.,32,320,,,,,,352
2012,Finland,Syrian Arab Rep.,218,110,,,,,,328
2012,United Kingdom,Syrian Arab Rep.,1717,389,,,,,,2106
2012,Georgia,Syrian Arab Rep.,141,16,,,,,,157
2012,Croatia,Syrian Arab Rep.,12,40,,,,,,52
2012,Indonesia,Syrian Arab Rep.,5,48,,,,,,53
2012,India,Syrian Arab Rep.,6,5,,,,,,11
2012,Ireland,Syrian Arab Rep.,38,15,,,,,,53
2012,Iraq,Syrian Arab Rep.,63586,1185,,,,,,64771
2012,Iceland,Syrian Arab Rep.,2,2,,,,,,4
2012,Italy,Syrian Arab Rep.,445,507,,,,,,952
2012,Jordan,Syrian Arab Rep.,238798,491,,,,,,239289
2012,Kyrgyzstan,Syrian Arab Rep.,7,34,,,,,,41
2012,Kuwait,Syrian Arab Rep.,15,8,,,,,,23
2012,Lebanon,Syrian Arab Rep.,126939,242,,,,,,127181
2012,Lithuania,Syrian Arab Rep.,5,5,,,,,,10
2012,Latvia,Syrian Arab Rep.,17,15,,,,,,32
2012,Rep. of Moldova,Syrian Arab Rep.,55,33,,,,,,88
2012,Malta,Syrian Arab Rep.,191,139,,,,,,330
2012,Malaysia,Syrian Arab Rep.,4,83,,,,,,87
2012,Netherlands,Syrian Arab Rep.,1449,231,,,,,,1680
2012,Norway,Syrian Arab Rep.,565,306,,,,,,871
2012,New Zealand,Syrian Arab Rep.,41,3,,,,,,44
2012,Oman,Syrian Arab Rep.,7,4,,,,,,11
2012,Poland,Syrian Arab Rep.,17,83,,,,,,100
2012,Qatar,Syrian Arab Rep.,8,1,,,,,,9
2012,Romania,Syrian Arab Rep.,152,10,,,,,,162
2012,Russian Federation,Syrian Arab Rep.,53,91,,,,,1400,1544
2012,Saudi Arabia,Syrian Arab Rep.,14,12,,,,,,26
2012,Slovenia,Syrian Arab Rep.,2,8,,,,,,10
2012,Sweden,Syrian Arab Rep.,6051,3751,,,,,,9802
2012,Togo,Syrian Arab Rep.,1,8,,,,,,9
2012,Thailand,Syrian Arab Rep.,10,60,,,,,,70
2012,Tunisia,Syrian Arab Rep.,6,30,,,,,,36
2012,Turkey,Syrian Arab Rep.,248466,200,68573,,,,,317239
2012,Ukraine,Syrian Arab Rep.,63,453,,,,,,516
2012,USA,Syrian Arab Rep.,1425,367,,,,,,1792
2012,Yemen,Syrian Arab Rep.,42,131,,,,,,173
2012,South Africa,Syrian Arab Rep.,2,8,,,,,,10
2013,United Arab Emirates,Syrian Arab Rep.,16,14,,,,,,30
2013,Argentina,Syrian Arab Rep.,159,12,,,,,,171
2013,Armenia,Syrian Arab Rep.,11090,42,,,,,,11132
2013,Australia,Syrian Arab Rep.,265,139,,,,,,404
2013,Austria,Syrian Arab Rep.,2748,1561,,,,,,4309
2013,Azerbaijan,Syrian Arab Rep.,9,6,,,,,,15
2013,Belgium,Syrian Arab Rep.,1987,378,,,,,,2365
2013,Bulgaria,Syrian Arab Rep.,2104,2500,,,,,,4604
2013,Bosnia and Herzegovina,Syrian Arab Rep.,48,18,,,,,,66
2013,Belarus,Syrian Arab Rep.,35,25,,,,,,60
2013,Brazil,Syrian Arab Rep.,333,70,,,,,,403
2013,Canada,Syrian Arab Rep.,592,435,,,,,,1027
2013,Switzerland,Syrian Arab Rep.,2012,2849,,,,,,4861
2013,Chile,Syrian Arab Rep.,5,5,,,,,,10
2013,Côte d'Ivoire,Syrian Arab Rep.,2,12,,,,,,14
2013,Cameroon,Syrian Arab Rep.,1,7,,,,,,8
2013,Colombia,Syrian Arab Rep.,2,1,,,,,,3
2013,Costa Rica,Syrian Arab Rep.,1,4,,,,,,5
2013,Cyprus,Syrian Arab Rep.,316,1319,,,,,,1635
2013,Czech Rep.,Syrian Arab Rep.,149,25,,,,,,174
2013,Germany,Syrian Arab Rep.,21253,10566,,,,,,31819
2013,Denmark,Syrian Arab Rep.,3271,86,,,,,,3357
2013,Ecuador,Syrian Arab Rep.,11,4,,,,,,15
2013,Spain,Syrian Arab Rep.,180,743,,,,,,923
2013,Estonia,Syrian Arab Rep.,2,10,,,,,,12
2013,Finland,Syrian Arab Rep.,352,77,,,,,,429
2013,France,Syrian Arab Rep.,1474,343,,,,,,1817
2013,United Kingdom,Syrian Arab Rep.,3169,641,,,,,,3810
2013,Georgia,Syrian Arab Rep.,516,26,,,,,,542
2013,Ghana,Syrian Arab Rep.,1,55,,,,,,56
2013,Greece,Syrian Arab Rep.,195,1665,,,,,8000,9860
2013,Croatia,Syrian Arab Rep.,22,37,,,,,,59
2013,Hungary,Syrian Arab Rep.,141,184,,,,,,325
2013,Indonesia,Syrian Arab Rep.,36,43,,,,,,79
2013,India,Syrian Arab Rep.,18,12,,,,,,30
2013,Ireland,Syrian Arab Rep.,71,15,,,,,,86
2013,Iraq,Syrian Arab Rep.,212809,1164,,,,,,213973
2013,Iceland,Syrian Arab Rep.,7,11,,,,,,18
2013,Italy,Syrian Arab Rep.,840,278,,,,,,1118
2013,Kazakhstan,Syrian Arab Rep.,7,22,,,,,,29
2013,Kyrgyzstan,Syrian Arab Rep.,14,78,,,,,,92
2013,Kuwait,Syrian Arab Rep.,13,8,,,,,,21
2013,Lebanon,Syrian Arab Rep.,851284,331,1,,,,,851616
2013,Lithuania,Syrian Arab Rep.,18,3,,,,,,21
2013,Luxembourg,Syrian Arab Rep.,5,23,,,,,,28
2013,Latvia,Syrian Arab Rep.,33,12,,,,,,45
2013,Rep. of Moldova,Syrian Arab Rep.,139,27,,,,,,166
2013,Malta,Syrian Arab Rep.,776,102,,,,,,878
2013,Mauritania,Syrian Arab Rep.,5,41,,,,,,46
2013,Malaysia,Syrian Arab Rep.,101,720,,,,,,821
2013,Niger,Syrian Arab Rep.,6,1,,,,,,7
2013,Nigeria,Syrian Arab Rep.,9,10,,,,,,19
2013,Norway,Syrian Arab Rep.,1311,259,,,,,,1570
2013,New Zealand,Syrian Arab Rep.,43,7,,,,,,50
2013,Oman,Syrian Arab Rep.,7,4,,,,,,11
2013,Philippines,Syrian Arab Rep.,7,21,,,,,,28
2013,Poland,Syrian Arab Rep.,108,100,,,,,,208
2013,Portugal,Syrian Arab Rep.,14,8,,,,,,22
2013,Romania,Syrian Arab Rep.,932,91,,,,,,1023
2013,Russian Federation,Syrian Arab Rep.,1163,839,,,,,1400,3402
2013,Saudi Arabia,Syrian Arab Rep.,14,12,,,,,,26
2013,Sudan,Syrian Arab Rep.,84,224,,,,,,308
2013,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,3,60,,,,,,63
2013,Slovenia,Syrian Arab Rep.,9,2,,,,,,11
2013,Sweden,Syrian Arab Rep.,17984,6808,,,,,,24792
2013,Chad,Syrian Arab Rep.,15,2,,,,,,17
2013,Thailand,Syrian Arab Rep.,44,144,,,,,,188
2013,Turkey,Syrian Arab Rep.,585601,110,140756,,,,,726467
2013,Ukraine,Syrian Arab Rep.,167,591,,,,,,758
2013,USA,Syrian Arab Rep.,3802,1378,,,,,,5180
2013,Yemen,Syrian Arab Rep.,54,1761,,,,,,1815
2013,South Africa,Syrian Arab Rep.,8,11,,,,,,19
2014,Albania,Syrian Arab Rep.,3,8,,,,,,11
2014,United Arab Emirates,Syrian Arab Rep.,28,12,,,,,,40
2014,Argentina,Syrian Arab Rep.,233,22,,,,,,255
2014,Armenia,Syrian Arab Rep.,14994,9,,,,,,15003
2014,Australia,Syrian Arab Rep.,302,174,,,,,,476
2014,Austria,Syrian Arab Rep.,6653,4872,,,,,,11525
2014,Azerbaijan,Syrian Arab Rep.,7,7,,,,,,14
2014,Belgium,Syrian Arab Rep.,2620,733,,,,,,3353
2014,Bulgaria,Syrian Arab Rep.,8501,2510,,,,,,11011
2014,Bosnia and Herzegovina,Syrian Arab Rep.,25,2,,,,,,27
2014,Belarus,Syrian Arab Rep.,72,48,,,,,,120
2014,Brazil,Syrian Arab Rep.,1739,76,,,,,,1815
2014,Canada,Syrian Arab Rep.,705,184,,,,,,889
2014,Switzerland,Syrian Arab Rep.,5161,3501,,,,,,8662
2014,Chile,Syrian Arab Rep.,6,10,,,,,,16
2014,China,Syrian Arab Rep.,5,1,,,,,,6
2014,Côte d'Ivoire,Syrian Arab Rep.,3,16,,,,,,19
2014,Cameroon,Syrian Arab Rep.,2,11,,,,,,13
2014,Colombia,Syrian Arab Rep.,4,2,,,,,,6
2014,Costa Rica,Syrian Arab Rep.,5,4,,,,,,9
2014,Cyprus,Syrian Arab Rep.,1451,1109,,,,,,2560
2014,Czech Rep.,Syrian Arab Rep.,236,54,,,,,,290
2014,Germany,Syrian Arab Rep.,40994,29591,,,,,,70585
2014,Denmark,Syrian Arab Rep.,7253,1468,,,,,,8721
2014,Dominican Rep.,Syrian Arab Rep.,1,1,,,,,,2
2014,Spain,Syrian Arab Rep.,1336,781,,,,,,2117
2014,Estonia,Syrian Arab Rep.,6,4,,,,,,10
2014,Finland,Syrian Arab Rep.,438,55,,,,,,493
2014,France,Syrian Arab Rep.,2882,1239,,,,,,4121
2014,United Kingdom,Syrian Arab Rep.,4573,1329,,,,,,5902
2014,Georgia,Syrian Arab Rep.,471,34,,,,,,505
2014,Ghana,Syrian Arab Rep.,5,73,,,,,,78
2014,Greece,Syrian Arab Rep.,3913,182,,,,,,4095
2014,Croatia,Syrian Arab Rep.,22,6,,,,,,28
2014,Hungary,Syrian Arab Rep.,334,823,,,,,,1157
2014,Indonesia,Syrian Arab Rep.,43,43,,,,,,86
2014,India,Syrian Arab Rep.,27,18,,,,,,45
2014,Ireland,Syrian Arab Rep.,176,11,,,,,,187
2014,Iraq,Syrian Arab Rep.,234196,1225,,,,,1,235422
2014,Iceland,Syrian Arab Rep.,7,5,,,,,,12
2014,Italy,Syrian Arab Rep.,1144,331,,,,,,1475
2014,Japan,Syrian Arab Rep.,41,12,,,,,,53
2014,Kazakhstan,Syrian Arab Rep.,14,28,,,,,,42
2014,Kyrgyzstan,Syrian Arab Rep.,56,17,,,,,,73
2014,Rep. of Korea,Syrian Arab Rep.,503,64,,,,,,567
2014,Kuwait,Syrian Arab Rep.,15,7,,,,,,22
2014,Lebanon,Syrian Arab Rep.,1147494,417,,,,,1992,1149903
2014,Liberia,Syrian Arab Rep.,6,2,,,,,,8
2014,Sri Lanka,Syrian Arab Rep.,3,5,,,,,,8
2014,Lithuania,Syrian Arab Rep.,20,4,,,,,,24
2014,Luxembourg,Syrian Arab Rep.,59,60,,,,,,119
2014,Latvia,Syrian Arab Rep.,52,17,,,,,,69
2014,Rep. of Moldova,Syrian Arab Rep.,186,22,,,,,,208
2014,Mexico,Syrian Arab Rep.,13,6,,,,,,19
2014,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,11,654,,,,,,665
2014,Mali,Syrian Arab Rep.,16,1,,,,,,17
2014,Malta,Syrian Arab Rep.,1047,34,,,,,,1081
2014,Mauritania,Syrian Arab Rep.,41,54,,,,,,95
2014,Malaysia,Syrian Arab Rep.,447,530,,,,,,977
2014,Niger,Syrian Arab Rep.,6,1,,,,,,7
2014,Nigeria,Syrian Arab Rep.,11,17,,,,,,28
2014,Netherlands,Syrian Arab Rep.,8692,2323,,,,,,11015
2014,Norway,Syrian Arab Rep.,2568,828,,,,,,3396
2014,New Zealand,Syrian Arab Rep.,48,6,,,,,,54
2014,Oman,Syrian Arab Rep.,7,6,,,,,,13
2014,Pakistan,Syrian Arab Rep.,16,1,,,,,,17
2014,Peru,Syrian Arab Rep.,20,2,,,,,,22
2014,Philippines,Syrian Arab Rep.,19,35,,,,,,54
2014,Papua New Guinea,Syrian Arab Rep.,1,1,,,,,,2
2014,Poland,Syrian Arab Rep.,240,34,,,,,,274
2014,Portugal,Syrian Arab Rep.,15,15,,,,,,30
2014,Paraguay,Syrian Arab Rep.,7,9,,,,,,16
2014,Romania,Syrian Arab Rep.,1278,114,,,,,,1392
2014,Russian Federation,Syrian Arab Rep.,1927,413,,,,,,2340
2014,Saudi Arabia,Syrian Arab Rep.,18,12,,,,,,30
2014,Sudan,Syrian Arab Rep.,797,238,,,,,,1035
2014,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,1,1,,,,,,2
2014,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,5,237,,,,,,242
2014,Slovenia,Syrian Arab Rep.,20,8,,,,,,28
2014,Sweden,Syrian Arab Rep.,34285,19011,,,,,,53296
2014,Chad,Syrian Arab Rep.,15,4,,,,,,19
2014,Thailand,Syrian Arab Rep.,82,168,,,,,,250
2014,Trinidad and Tobago,Syrian Arab Rep.,8,12,,,,,,20
2014,Turkey,Syrian Arab Rep.,1557899,250,,,,,,1558149
2014,Uganda,Syrian Arab Rep.,1,13,,,,,,14
2014,Ukraine,Syrian Arab Rep.,341,594,,,,,,935
2014,Uruguay,Syrian Arab Rep.,48,11,,,,,,59
2014,USA,Syrian Arab Rep.,4750,2302,,,,,,7052
2014,Yemen,Syrian Arab Rep.,2276,1039,,,,,,3315
2014,South Africa,Syrian Arab Rep.,28,37,,,,,,65
2014,Zambia,Syrian Arab Rep.,2,9,,,,,,11
2015,United Arab Emirates,Syrian Arab Rep.,36,109,,,,,,145
2015,Argentina,Syrian Arab Rep.,276,98,,,,,,374
2015,Armenia,Syrian Arab Rep.,16611,12,,,,,,16623
2015,Australia,Syrian Arab Rep.,301,133,,,,,,434
2015,Austria,Syrian Arab Rep.,14894,18669,,,,,,33563
2015,Azerbaijan,Syrian Arab Rep.,8,8,1,,,,,17
2015,Belgium,Syrian Arab Rep.,4239,3870,,,,,,8109
2015,Bulgaria,Syrian Arab Rep.,13819,1683,,,,,,15502
2015,Bosnia and Herzegovina,Syrian Arab Rep.,14,3,,,,,,17
2015,Belarus,Syrian Arab Rep.,138,7,,,,,,145
2015,Brazil,Syrian Arab Rep.,2271,1154,,,,,,3425
2015,Canada,Syrian Arab Rep.,1513,235,,,,,,1748
2015,Switzerland,Syrian Arab Rep.,8695,4462,,,,,,13157
2015,Chile,Syrian Arab Rep.,13,11,,,,,,24
2015,China,Syrian Arab Rep.,14,24,,,,,,38
2015,Côte d'Ivoire,Syrian Arab Rep.,20,8,,,,,,28
2015,Cameroon,Syrian Arab Rep.,15,8,,,,,,23
2015,Congo,Syrian Arab Rep.,4,4,,,,,,8
2015,Costa Rica,Syrian Arab Rep.,8,2,,,,,,10
2015,Curaçao,Syrian Arab Rep.,1,3,,,,,,4
2015,Cyprus,Syrian Arab Rep.,3110,692,,,,,6000,9802
2015,Czech Rep.,Syrian Arab Rep.,365,42,,,,,,407
2015,Germany,Syrian Arab Rep.,115604,81582,,,,,,197186
2015,Denmark,Syrian Arab Rep.,12988,825,,,,,,13813
2015,Dominican Rep.,Syrian Arab Rep.,1,1,,,,,,2
2015,Spain,Syrian Arab Rep.,1992,3280,,,,,,5272
2015,Ethiopia,Syrian Arab Rep.,9,15,,,,,,24
2015,Finland,Syrian Arab Rep.,565,705,,,,,,1270
2015,France,Syrian Arab Rep.,5179,2711,,,,,,7890
2015,Gabon,Syrian Arab Rep.,2,1,,,,,,3
2015,United Kingdom,Syrian Arab Rep.,6496,1648,,,,,,8144
2015,Georgia,Syrian Arab Rep.,475,9,,,,,,484
2015,Ghana,Syrian Arab Rep.,47,49,,,,,,96
2015,Greece,Syrian Arab Rep.,9101,448,,,,,,9549
2015,Croatia,Syrian Arab Rep.,23,4,,,,,,27
2015,Hungary,Syrian Arab Rep.,476,18607,,,,,,19083
2015,Indonesia,Syrian Arab Rep.,61,32,,,,,,93
2015,India,Syrian Arab Rep.,41,20,,,,,,61
2015,Ireland,Syrian Arab Rep.,109,51,,,,,,160
2015,Iceland,Syrian Arab Rep.,37,2,,,,,,39
2015,Italy,Syrian Arab Rep.,1460,246,,,,,,1706
2015,Jamaica,Syrian Arab Rep.,3,1,,,,,,4
2015,Kazakhstan,Syrian Arab Rep.,23,16,,,,,,39
2015,Kenya,Syrian Arab Rep.,9,8,,,,,,17
2015,Kyrgyzstan,Syrian Arab Rep.,55,12,,,,,,67
2015,Rep. of Korea,Syrian Arab Rep.,646,320,,,,,,966
2015,Kuwait,Syrian Arab Rep.,14,6,,,,,,20
2015,Lebanon,Syrian Arab Rep.,1062690,15,,,,,2242,1064947
2015,Liberia,Syrian Arab Rep.,6,3,,,,,,9
2015,Libya,Syrian Arab Rep.,97,18591,,,,,,18688
2015,Liechtenstein,Syrian Arab Rep.,23,1,,,,,,24
