Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2011,SYR,Syrian Arab Rep.,-,-,DNK,Denmark,1
2011,SYR,Syrian Arab Rep.,-,-,USA,United States of America,57
2011,SYR,Syrian Arab Rep.,-,-,CAN,Canada,13
2011,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,36
2011,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,1
2011,SYR,Syrian Arab Rep.,-,-,FRA,France,1
2011,SYR,Syrian Arab Rep.,-,-,AUS,Australia,1
2011,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,14
2011,SYR,Syrian Arab Rep.,-,-,NOR,Norway,1
2012,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,56
2012,SYR,Syrian Arab Rep.,-,-,CAN,Canada,11
2012,SYR,Syrian Arab Rep.,-,-,NOR,Norway,3
2012,SYR,Syrian Arab Rep.,-,-,USA,United States of America,16
2012,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,1
2012,SYR,Syrian Arab Rep.,-,-,AUS,Australia,2
2012,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,1
2013,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,424
2013,SYR,Syrian Arab Rep.,-,-,AUS,Australia,114
2013,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,104
2013,SYR,Syrian Arab Rep.,-,-,DEU,Germany,4253
2013,SYR,Syrian Arab Rep.,-,-,AUT,Austria,32
2013,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,21
2013,SYR,Syrian Arab Rep.,-,-,FRA,France,72
2013,SYR,Syrian Arab Rep.,-,-,DNK,Denmark,1
2013,SYR,Syrian Arab Rep.,-,-,LUX,Luxembourg,25
2013,SYR,Syrian Arab Rep.,-,-,ISL,Iceland,1
2013,SYR,Syrian Arab Rep.,-,-,NOR,Norway,9
2013,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,3
2013,SYR,Syrian Arab Rep.,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,1
2013,SYR,Syrian Arab Rep.,-,-,CAN,Canada,105
2013,SYR,Syrian Arab Rep.,-,-,USA,United States of America,107
2013,SYR,Syrian Arab Rep.,-,-,HUN,Hungary,5
2014,SYR,Syrian Arab Rep.,-,-,DEU,Germany,2108
2014,SYR,Syrian Arab Rep.,-,-,ISL,Iceland,14
2014,SYR,Syrian Arab Rep.,-,-,BRA,Brazil,2
2014,SYR,Syrian Arab Rep.,-,-,CZE,Czechia,11
2014,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,782
2014,SYR,Syrian Arab Rep.,-,-,DNK,Denmark,165
2014,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,378
2014,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,122
2014,SYR,Syrian Arab Rep.,-,-,NOR,Norway,1193
2014,SYR,Syrian Arab Rep.,-,-,URY,Uruguay,188
2014,SYR,Syrian Arab Rep.,-,-,BLR,Belarus,24
2014,SYR,Syrian Arab Rep.,-,-,FRA,France,544
2014,SYR,Syrian Arab Rep.,-,-,AUT,Austria,457
2014,SYR,Syrian Arab Rep.,-,-,HUN,Hungary,4
2014,SYR,Syrian Arab Rep.,-,-,PRT,Portugal,27
2014,SYR,Syrian Arab Rep.,-,-,FIN,Finland,629
2014,SYR,Syrian Arab Rep.,-,-,BEL,Belgium,96
2014,SYR,Syrian Arab Rep.,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,242
2014,SYR,Syrian Arab Rep.,-,-,ESP,Spain,202
2014,SYR,Syrian Arab Rep.,-,-,LUX,Luxembourg,59
2014,SYR,Syrian Arab Rep.,-,-,AUS,Australia,588
2014,SYR,Syrian Arab Rep.,-,-,IRL,Ireland,114
2014,SYR,Syrian Arab Rep.,-,-,USA,United States of America,10200
2014,SYR,Syrian Arab Rep.,-,-,LIE,Liechtenstein,20
2014,SYR,Syrian Arab Rep.,-,-,CAN,Canada,2816
2014,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,169
2015,SYR,Syrian Arab Rep.,-,-,ESP,Spain,6
2015,SYR,Syrian Arab Rep.,-,-,BEL,Belgium,504
2015,SYR,Syrian Arab Rep.,-,-,HUN,Hungary,23
2015,SYR,Syrian Arab Rep.,-,-,USA,United States of America,16306
2015,SYR,Syrian Arab Rep.,-,-,NOR,Norway,3420
2015,SYR,Syrian Arab Rep.,-,-,IRL,Ireland,560
2015,SYR,Syrian Arab Rep.,-,-,CAN,Canada,18192
2015,SYR,Syrian Arab Rep.,-,-,DNK,Denmark,336
2015,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,347
2015,SYR,Syrian Arab Rep.,-,-,DEU,Germany,448
2015,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,604
2015,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,454
2015,SYR,Syrian Arab Rep.,-,-,FIN,Finland,763
2015,SYR,Syrian Arab Rep.,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,2721
2015,SYR,Syrian Arab Rep.,-,-,ITA,Italy,369
2015,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,707
2015,SYR,Syrian Arab Rep.,-,-,AUS,Australia,5317
2015,SYR,Syrian Arab Rep.,-,-,ISL,Iceland,63
2015,SYR,Syrian Arab Rep.,-,-,FRA,France,1315
2015,SYR,Syrian Arab Rep.,-,-,AUT,Austria,612
2015,SYR,Syrian Arab Rep.,-,-,MCO,Monaco,13
2015,SYR,Syrian Arab Rep.,-,-,PRT,Portugal,20
2015,SYR,Syrian Arab Rep.,-,-,CZE,Czechia,205
2016,SYR,Syrian Arab Rep.,-,-,MCO,Monaco,4
2016,SYR,Syrian Arab Rep.,-,-,AUS,Australia,431
2016,SYR,Syrian Arab Rep.,-,-,LUX,Luxembourg,164
2016,SYR,Syrian Arab Rep.,-,-,ITA,Italy,1094
2016,SYR,Syrian Arab Rep.,-,-,ESP,Spain,711
2016,SYR,Syrian Arab Rep.,-,-,CAN,Canada,16892
2016,SYR,Syrian Arab Rep.,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,7476
2016,SYR,Syrian Arab Rep.,-,-,LVA,Latvia,53
2016,SYR,Syrian Arab Rep.,-,-,NOR,Norway,3581
2016,SYR,Syrian Arab Rep.,-,-,BEL,Belgium,396
2016,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,866
2016,SYR,Syrian Arab Rep.,-,-,FIN,Finland,997
2016,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,1190
2016,SYR,Syrian Arab Rep.,-,-,MLT,Malta,6
2016,SYR,Syrian Arab Rep.,-,-,CZE,Czechia,105
2016,SYR,Syrian Arab Rep.,-,-,BGR,Bulgaria,41
2016,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,1012
2016,SYR,Syrian Arab Rep.,-,-,PRT,Portugal,46
2016,SYR,Syrian Arab Rep.,-,-,DNK,Denmark,5
2016,SYR,Syrian Arab Rep.,-,-,EST,Estonia,66
2016,SYR,Syrian Arab Rep.,-,-,USA,United States of America,34469
2016,SYR,Syrian Arab Rep.,-,-,ROU,Romania,15
2016,SYR,Syrian Arab Rep.,-,-,DEU,Germany,2205
2016,SYR,Syrian Arab Rep.,-,-,HRV,Croatia,35
2016,SYR,Syrian Arab Rep.,-,-,FRA,France,4280
2016,SYR,Syrian Arab Rep.,-,-,ISL,Iceland,61
2016,SYR,Syrian Arab Rep.,-,-,HUN,Hungary,4
2016,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,421
2016,SYR,Syrian Arab Rep.,-,-,IRL,Ireland,314
2016,SYR,Syrian Arab Rep.,-,-,LTU,Lithuania,85
2016,SYR,Syrian Arab Rep.,-,-,AUT,Austria,229
2017,SYR,Syrian Arab Rep.,-,-,USA,United States of America,3942
2017,SYR,Syrian Arab Rep.,-,-,CHL,Chile,95
2017,SYR,Syrian Arab Rep.,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,7072
2017,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,2835
2017,SYR,Syrian Arab Rep.,-,-,AUS,Australia,81
2017,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,1307
2017,SYR,Syrian Arab Rep.,-,-,DEU,Germany,3652
2017,SYR,Syrian Arab Rep.,-,-,PRT,Portugal,221
2017,SYR,Syrian Arab Rep.,-,-,AUT,Austria,253
2017,SYR,Syrian Arab Rep.,-,-,ISL,Iceland,21
2017,SYR,Syrian Arab Rep.,-,-,HRV,Croatia,157
2017,SYR,Syrian Arab Rep.,-,-,ROU,Romania,48
2017,SYR,Syrian Arab Rep.,-,-,BEL,Belgium,1357
2017,SYR,Syrian Arab Rep.,-,-,ITA,Italy,1062
2017,SYR,Syrian Arab Rep.,-,-,ESP,Spain,1369
2017,SYR,Syrian Arab Rep.,-,-,CAN,Canada,1327
2017,SYR,Syrian Arab Rep.,-,-,LTU,Lithuania,191
2017,SYR,Syrian Arab Rep.,-,-,SVN,Slovenia,67
2017,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,678
2017,SYR,Syrian Arab Rep.,-,-,CYP,Cyprus,6
2017,SYR,Syrian Arab Rep.,-,-,LUX,Luxembourg,216
2017,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,2875
2017,SYR,Syrian Arab Rep.,-,-,ARG,Argentina,105
2017,SYR,Syrian Arab Rep.,-,-,EST,Estonia,143
2017,SYR,Syrian Arab Rep.,-,-,LVA,Latvia,65
2017,SYR,Syrian Arab Rep.,-,-,NOR,Norway,3002
2017,SYR,Syrian Arab Rep.,-,-,FIN,Finland,664
2017,SYR,Syrian Arab Rep.,-,-,IRL,Ireland,303
2017,SYR,Syrian Arab Rep.,-,-,FRA,France,4207
2017,SYR,Syrian Arab Rep.,-,-,MLT,Malta,11
2018,SYR,Syrian Arab Rep.,-,-,IRL,Ireland,389
2018,SYR,Syrian Arab Rep.,-,-,BEL,Belgium,1086
2018,SYR,Syrian Arab Rep.,-,-,LTU,Lithuania,13
2018,SYR,Syrian Arab Rep.,-,-,CHE,Switzerland,1052
2018,SYR,Syrian Arab Rep.,-,-,BGR,Bulgaria,66
2018,SYR,Syrian Arab Rep.,-,-,LVA,Latvia,4
2018,SYR,Syrian Arab Rep.,-,-,NLD,Netherlands,2383
2018,SYR,Syrian Arab Rep.,-,-,ARG,Argentina,9
2018,SYR,Syrian Arab Rep.,-,-,EST,Estonia,88
2018,SYR,Syrian Arab Rep.,-,-,PRT,Portugal,266
2018,SYR,Syrian Arab Rep.,-,-,CAN,Canada,5508
2018,SYR,Syrian Arab Rep.,-,-,FIN,Finland,628
2018,SYR,Syrian Arab Rep.,-,-,ESP,Spain,1125
2018,SYR,Syrian Arab Rep.,-,-,FRA,France,2943
2018,SYR,Syrian Arab Rep.,-,-,GBR,United Kingdom of Great Britain and Northern Ireland,4079
2018,SYR,Syrian Arab Rep.,-,-,USA,United States of America,85
2018,SYR,Syrian Arab Rep.,-,-,NOR,Norway,1212
2018,SYR,Syrian Arab Rep.,-,-,DEU,Germany,3928
2018,SYR,Syrian Arab Rep.,-,-,NZL,New Zealand,240
2018,SYR,Syrian Arab Rep.,-,-,SWE,Sweden,2151
2018,SYR,Syrian Arab Rep.,-,-,HRV,Croatia,330
2018,SYR,Syrian Arab Rep.,-,-,ISL,Iceland,61
2018,SYR,Syrian Arab Rep.,-,-,AUS,Australia,59
2018,SYR,Syrian Arab Rep.,-,-,ITA,Italy,484